City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Fort Nelson,CA,58.8053,-122.7002,66.25,20,48,0.81,scattered clouds
80,Qaanaaq,GL,77.484,-69.3632,8.53,73,18,7.72,few clouds
81,Saskylakh,RU,71.9167,114.0833,26.33,94,100,13.87,overcast clouds
82,Hualmay,PE,-11.0964,-77.6139,63.57,80,56,9.4,broken clouds
83,Egvekinot,RU,66.3167,-179.1667,27.93,72,99,5.61,overcast clouds
84,Rauma,FI,61.1272,21.5113,37.44,87,100,4.65,overcast clouds
85,Kalmunai,LK,7.4167,81.8167,81.14,64,100,11.36,overcast clouds
86,Jand,PK,33.4299,72.0193,80.17,50,2,3.78,clear sky
87,Sasina,BA,44.7987,16.739,57.18,84,56,1.81,broken clouds
88,Lianzhou,CN,24.7811,112.3825,75.25,89,0,1.63,clear sky
89,Baoding,CN,38.8511,115.4903,63.39,96,100,5.35,light rain
90,Mozarlandia,BR,-14.7447,-50.5706,81.86,54,71,8.88,broken clouds
91,Bredasdorp,ZA,-34.5322,20.0403,52.32,92,16,6.2,few clouds
92,Chokurdakh,RU,70.6333,147.9167,19.81,80,76,8.25,broken clouds
93,Maningrida,AU,-12.0667,134.2667,83.08,68,99,9.26,overcast clouds
94,Paamiut,GL,61.994,-49.6678,36.55,71,27,14.0,scattered clouds
95,Sparta,US,43.9441,-90.8129,68.52,70,15,5.97,few clouds
96,Santa Marta,CO,11.2408,-74.199,84.88,72,72,3.0,broken clouds
97,Kaitangata,NZ,-46.2817,169.8464,48.07,77,63,15.66,broken clouds
98,Vila Velha,BR,-20.3297,-40.2925,75.15,86,75,10.36,broken clouds
99,Lavrentiya,RU,65.5833,-171.0,39.16,72,26,11.03,scattered clouds
100,Nanortalik,GL,60.1432,-45.2371,37.08,83,40,11.39,scattered clouds
101,Kropotkin,RU,45.4375,40.5756,65.77,81,99,19.37,light rain
102,Swakopmund,NA,-22.6833,14.5333,55.98,88,2,3.0,clear sky
103,Camacha,PT,33.0833,-16.3333,67.42,73,20,4.61,few clouds
104,Tiznit,MA,29.5833,-9.5,74.91,37,0,2.37,clear sky
105,Honiara,SB,-9.4333,159.95,85.48,68,48,2.64,scattered clouds
106,Lipari,IT,38.4674,14.954,71.2,68,14,12.48,few clouds
107,Norman Wells,CA,65.282,-126.8329,33.84,93,75,3.44,broken clouds
108,Pinega,RU,64.7001,43.3936,39.09,97,100,4.43,overcast clouds
109,Awbari,LY,26.5921,12.7805,81.61,42,1,12.15,clear sky
110,Tocopilla,CL,-22.092,-70.1979,62.91,66,27,8.41,scattered clouds
111,Samarai,PG,-10.6167,150.6667,82.24,78,92,10.58,overcast clouds
112,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,20,10.36,few clouds
113,Qaqortoq,GL,60.7167,-46.0333,35.6,68,28,1.97,scattered clouds
114,Saint Anthony,US,45.0205,-93.218,72.66,50,20,13.8,few clouds
115,Rocha,UY,-34.4833,-54.3333,52.47,95,6,8.55,clear sky
116,Demba,CD,-5.51,22.2667,68.5,89,98,1.59,overcast clouds
117,Velikovechnoye,RU,44.934,39.755,62.15,93,100,14.47,heavy intensity rain
118,Kloulklubed,PW,7.0419,134.2556,83.25,75,97,8.52,overcast clouds
119,Aguimes,ES,27.9054,-15.4461,70.66,83,20,15.01,few clouds
120,Olinda,BR,-8.0089,-34.8553,76.73,78,75,6.91,broken clouds
