City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Philippe,RE,2022-07-14 02:39:12,-21.3585,55.7679,65.79,80,49,12.21
68,Port Elizabeth,ZA,2022-07-14 02:39:12,-33.918,25.5701,62.89,58,75,21.99
69,Phonhong,LA,2022-07-14 02:39:13,18.5007,102.4166,83.03,81,99,1.54
70,Maceio,BR,2022-07-14 02:34:35,-9.6658,-35.7353,72.84,88,40,4.61
71,Alofi,NU,2022-07-14 02:39:13,-19.0595,-169.9187,80.49,65,75,14.97
72,Khandyga,RU,2022-07-14 02:39:14,62.6667,135.6,79.74,51,74,2.51
73,Ambulu,ID,2022-07-14 02:39:14,-8.345,113.6058,82.85,68,40,5.82
74,Arraial Do Cabo,BR,2022-07-14 02:39:15,-22.9661,-42.0278,71.56,88,40,8.05
75,Bredasdorp,ZA,2022-07-14 02:39:15,-34.5322,20.0403,58.66,77,83,15.52
76,Nea Manolas,GR,2022-07-14 02:39:16,38.05,21.3833,71.76,85,0,0.0
77,Roald,NO,2022-07-14 02:39:17,62.5833,6.1333,54.16,79,100,18.63
78,Mehamn,NO,2022-07-14 02:39:17,71.0357,27.8492,57.15,94,20,2.3
79,Cape Town,ZA,2022-07-14 02:39:14,-33.9258,18.4232,57.88,94,75,14.97
80,Payo,ID,2022-07-14 02:39:18,-3.7508,103.6372,80.87,76,93,1.41
81,Ponta Do Sol,PT,2022-07-14 02:39:18,32.6667,-17.1,67.71,76,29,1.61
82,East London,ZA,2022-07-14 02:39:19,-33.0153,27.9116,58.33,51,0,8.5
83,Hermanus,ZA,2022-07-14 02:39:19,-34.4187,19.2345,56.8,87,93,14.45
84,Lebu,CL,2022-07-14 02:39:20,-37.6167,-73.65,42.1,87,21,8.12
85,Bud,US,2022-07-14 02:39:20,39.447,-86.1758,73.24,97,24,5.28
86,Dom Pedrito,BR,2022-07-14 02:39:21,-30.9828,-54.6731,49.55,79,30,9.42
87,Assiniboia,CA,2022-07-14 02:39:21,49.6334,-105.9845,80.42,54,35,11.5
88,The Valley,AI,2022-07-14 02:39:21,18.217,-63.0578,82.26,74,100,20.76
89,Gunjur,GM,2022-07-14 02:39:22,13.2019,-16.7339,80.67,83,75,4.61
90,Clyde River,CA,2022-07-14 02:39:22,70.4692,-68.5914,34.03,100,0,11.5
91,Brigantine,US,2022-07-14 02:39:23,39.4101,-74.3646,77.2,86,0,4.61
92,Talant,FR,2022-07-14 02:39:23,47.3369,5.0089,66.54,72,0,2.3
93,Souillac,MU,2022-07-14 02:40:23,-20.5167,57.5167,68.38,83,75,14.97
94,Zeya,RU,2022-07-14 02:40:24,53.75,127.2667,86.63,39,77,1.81
95,Okhotsk,RU,2022-07-14 02:40:24,59.3833,143.3,68.41,80,96,7.34
96,Dikson,RU,2022-07-14 02:40:25,73.5069,80.5464,44.51,70,99,6.64
97,Norman Wells,CA,2022-07-14 02:40:25,65.282,-126.8329,57.24,82,100,14.97
98,Clinton,US,2022-07-14 02:40:25,42.587,-82.9199,70.12,78,1,7.58
99,Matay,EG,2022-07-14 02:40:26,28.419,30.7792,71.19,67,1,11.5
100,Charters Towers,AU,2022-07-14 02:40:26,-20.1,146.2667,62.22,35,0,15.17
101,Jonesboro,US,2022-07-14 02:40:01,35.8423,-90.7043,83.97,51,0,4.61
102,Luderitz,NA,2022-07-14 02:40:27,-26.6481,15.1594,54.79,54,0,14.45
103,Imbituba,BR,2022-07-14 02:36:20,-28.24,-48.6703,62.85,84,21,5.99
104,Sakakah,SA,2022-07-14 02:40:28,29.9697,40.2064,87.37,28,9,8.12
105,Meulaboh,ID,2022-07-14 02:40:25,4.1363,96.1285,82.85,74,24,6.87
106,Saint George,US,2022-07-14 02:40:28,37.1041,-113.5841,102.79,17,0,16.11
107,Torbay,CA,2022-07-14 02:35:31,47.6666,-52.7314,65.75,92,100,21.85
108,Kyren,RU,2022-07-14 02:40:30,51.6828,102.1408,55.85,95,100,1.36
109,Conde,BR,2022-07-14 02:40:30,-7.2597,-34.9075,71.06,94,20,5.75
110,Butaritari,KI,2022-07-14 02:40:31,3.0707,172.7902,82.06,79,10,18.14
111,Pecos,US,2022-07-14 02:36:13,31.4229,-103.4932,79.63,37,26,23.09
112,Ribeira Grande,PT,2022-07-14 02:40:31,38.5167,-28.7,69.6,94,99,12.48
113,Dukat,RU,2022-07-14 02:40:32,62.55,155.55,71.33,63,28,13.87
114,Klaksvik,FO,2022-07-14 02:40:32,62.2266,-6.589,49.12,84,98,8.99
115,Pangnirtung,CA,2022-07-14 02:40:33,66.1451,-65.7125,44.91,88,65,2.66
116,Prince Rupert,CA,2022-07-14 02:40:33,54.3161,-130.3201,53.69,94,100,21.85
117,Victoria,HK,2022-07-14 02:36:08,22.2855,114.1577,91.33,75,94,5.99
118,Provideniya,RU,2022-07-14 02:40:34,64.3833,-173.3,59.11,72,75,8.95
119,Merauke,ID,2022-07-14 02:40:35,-8.4667,140.3333,80.22,67,100,15.17
120,Tolga,DZ,2022-07-14 02:40:35,34.7222,5.3785,88.61,41,0,10.74
121,Hithadhoo,MV,2022-07-14 02:40:36,-0.6,73.0833,83.25,73,23,13.04
122,Hobyo,SO,2022-07-14 02:40:36,5.3505,48.5268,77.74,77,90,21.03
123,Kapaa,US,2022-07-14 02:40:37,22.0752,-159.319,87.78,78,40,17.27
124,La Ronge,CA,2022-07-14 02:40:37,55.1001,-105.2842,82.65,36,75,12.66
125,Cherskiy,RU,2022-07-14 02:40:37,68.75,161.3,52.88,51,36,20.22
126,Walvis Bay,NA,2022-07-14 02:40:38,-22.9575,14.5053,53.1,93,0,1.14
127,Salalah,OM,2022-07-14 02:40:38,17.0151,54.0924,77.09,100,100,6.91
128,Arlit,NE,2022-07-14 02:40:39,18.7369,7.3853,90.64,13,37,14.97
129,Petropavlovsk-Kamchatskiy,RU,2022-07-14 02:39:13,53.0452,158.6483,70.39,68,20,13.42
130,Bergen,NO,2022-07-14 02:40:39,60.392,5.328,54.09,94,75,10.36
131,Saint Anthony,US,2022-07-14 02:40:40,45.0205,-93.218,71.71,74,0,8.05
132,Upernavik,GL,2022-07-14 02:40:40,72.7868,-56.1549,39.83,88,92,12.53
133,Chicama,PE,2022-07-14 02:40:41,-7.8447,-79.1469,59.54,86,53,7.78
134,Vitim,RU,2022-07-14 02:40:41,59.4511,112.5578,73.53,51,9,5.48
135,Riyadh,SA,2022-07-14 02:39:15,24.6877,46.7219,87.94,12,48,9.73
136,Tasiilaq,GL,2022-07-14 02:40:42,65.6145,-37.6368,36.09,80,4,5.17
137,Cidreira,BR,2022-07-14 02:40:42,-30.1811,-50.2056,57.99,82,12,20.69
138,Ambilobe,MG,2022-07-14 02:41:43,-13.2,49.05,64.51,85,3,3.96
139,Mokhsogollokh,RU,2022-07-14 02:41:43,61.4681,128.9203,78.15,53,100,4.88
140,Vardo,NO,2022-07-14 02:41:44,70.3705,31.1107,51.78,100,100,1.14
141,Jiuquan,CN,2022-07-14 02:41:44,39.7432,98.5174,74.08,35,100,15.77
142,Cozumel,MX,2022-07-14 02:41:44,20.5083,-86.9458,82.47,81,75,6.91
143,Blagoveshchenka,RU,2022-07-14 02:41:45,52.8333,79.8667,60.13,61,100,2.06
144,Cap Malheureux,MU,2022-07-14 02:41:45,-19.9842,57.6142,66.47,79,100,7.0
145,Husavik,IS,2022-07-14 02:41:46,66.0449,-17.3389,47.1,76,98,7.99
146,Aquin,HT,2022-07-14 02:41:46,18.2833,-73.4,78.31,85,7,1.12
147,Domsod,HU,2022-07-14 02:41:47,47.0901,19.0111,70.88,46,54,7.11
148,El Dorado,US,2022-07-14 02:41:47,38.7666,-120.5177,82.45,44,0,1.39
149,Tuatapere,NZ,2022-07-14 02:41:47,-46.1333,167.6833,42.55,87,94,7.94
150,Muroto,JP,2022-07-14 02:41:49,33.2833,134.15,76.23,81,100,9.71
151,Lodingen,NO,2022-07-14 02:41:49,68.414,15.9951,53.74,94,100,6.51
152,Palmer,US,2022-07-14 02:41:50,42.1584,-72.3287,76.55,75,51,0.25
153,Pevek,RU,2022-07-14 02:41:50,69.7008,170.3133,39.13,77,92,13.87
154,Axim,GH,2022-07-14 02:41:50,4.8699,-2.2405,75.18,84,100,9.44
155,Camargo,MX,2022-07-14 02:41:51,27.6667,-105.1667,87.62,26,72,15.23
156,Bonoua,CI,2022-07-14 02:41:51,5.2741,-3.595,78.42,88,100,5.84
157,Myitkyina,MM,2022-07-14 02:41:52,25.3833,97.4,89.62,65,11,0.22
158,Kalmunai,LK,2022-07-14 02:41:52,7.4167,81.8167,84.06,54,71,5.06
159,San Isidro,PE,2022-07-14 02:41:53,-12.1167,-77.05,60.39,84,75,16.11
160,Nago,JP,2022-07-14 02:41:53,26.5881,127.9761,82.45,74,100,7.02
161,Lamu,KE,2022-07-14 02:41:54,-2.2717,40.902,71.82,89,83,16.11
162,San Cristobal,VE,2022-07-14 02:41:54,7.7669,-72.225,71.78,90,69,2.59
163,Coihaique,CL,2022-07-14 02:40:02,-45.5752,-72.0662,30.15,93,0,2.3
164,Pasinler,TR,2022-07-14 02:41:55,39.9803,41.6764,54.59,82,17,2.51
165,Lorengau,PG,2022-07-14 02:41:55,-2.0226,147.2712,85.53,67,74,7.4
166,Xingyi,CN,2022-07-14 02:41:55,24.1877,102.817,75.09,66,20,3.89
167,Point Fortin,TT,2022-07-14 02:41:56,10.1833,-61.6833,78.85,81,28,10.6
